i,t,a,x,rc
255,33,0,2,50.5
255,34,0,3,46
255,35,0,4,46
255,36,1,5,38
255,37,0,1,39
255,38,0,2,39
255,39,0,3,35
255,40,1,4,36.5
255,41,0,1,39.5
255,42,0,2,46.5
255,43,0,3,47.5
255,44,1,4,47.5
255,45,0,1,52.5
255,46,0,2,50
255,47,0,3,48
255,48,0,4,50.5
255,49,0,5,52
255,50,0,6,46.5
255,51,1,7,47.5
255,52,0,1,40
255,53,0,2,43
255,54,0,3,47
255,55,0,4,44
255,56,0,5,49
255,57,0,6,57.5
255,58,0,7,51.5
255,59,1,7,46.5
255,60,0,1,50
255,61,0,2,44
255,62,0,3,53
255,63,0,4,50.5
255,64,0,5,48
255,65,0,6,51
255,66,0,7,50.5
255,67,0,7,51
255,68,0,7,62.5
255,69,0,7,58
255,70,0,7,62
255,71,0,7,53
255,72,1,7,52.5
255,73,0,1,55.5
255,74,0,2,48
255,75,0,3,45.5
255,76,0,4,45
255,77,1,5,50
255,78,0,1,47
255,79,0,2,50
255,80,0,3,41.5
255,81,0,4,50
255,82,1,5,43.5
255,83,0,1,36.5
255,84,0,2,46.5
255,85,0,3,49.5
255,86,0,4,50
255,87,0,5,47.5
255,88,0,6,43
255,89,0,7,48.5
255,90,1,7,52
255,91,0,1,58.5
255,92,0,2,54.5
255,93,0,3,54
255,94,0,4,47
255,95,0,5,45.5
255,96,0,6,42.5
255,97,1,7,50.5
255,98,0,1,43.5
255,99,0,2,44.5
255,100,0,3,46
256,1,0,4,45
256,2,0,5,49
256,3,1,6,54
256,4,0,1,47
256,5,0,2,56
256,6,0,3,52.5
256,7,0,4,55
256,8,0,5,50.5
256,9,0,6,52
256,10,1,7,42
256,11,0,1,31.5
256,12,0,2,39.5
256,13,0,3,40.5
256,14,0,4,39.5
256,15,1,5,42
256,16,0,1,41.5
256,17,0,2,40
256,18,0,3,35
256,19,0,4,40
256,20,0,5,44
256,21,0,6,45
256,22,0,7,50.5
256,23,0,7,46.5
256,24,1,7,52
256,25,0,1,50
256,26,0,2,48
256,27,0,3,54
256,28,0,4,56
256,29,0,5,51.5
256,30,0,6,44.5
256,31,1,7,41.5
256,32,0,1,54
256,33,0,2,50.5
256,34,0,3,46
256,35,0,4,46
256,36,1,5,38
256,37,0,1,39
256,38,0,2,39
256,39,0,3,35
256,40,1,4,36.5
256,41,0,1,39.5
256,42,0,2,46.5
256,43,0,3,47.5
256,44,0,4,47.5
256,45,0,5,52.5
256,46,0,6,50
256,47,1,7,48
256,48,0,1,50.5
256,49,0,2,52
256,50,0,3,46.5
256,51,1,4,47.5
256,52,0,1,40
256,53,0,2,43
256,54,0,3,47
256,55,0,4,44
256,56,0,5,49
256,57,0,6,57.5
256,58,0,7,51.5
256,59,1,7,46.5
256,60,0,1,50
256,61,0,2,44
256,62,1,3,53
256,63,0,1,50.5
256,64,1,2,48
256,65,0,1,51
256,66,0,2,50.5
256,67,0,3,51
256,68,0,4,62.5
256,69,0,5,58
256,70,0,6,62
256,71,0,7,53
256,72,0,7,52.5
256,73,0,7,55.5
256,74,1,7,48
256,75,0,1,45.5
256,76,0,2,45
256,77,0,3,50
256,78,0,4,47
256,79,0,5,50
256,80,1,6,41.5
256,81,0,1,50
256,82,0,2,43.5
256,83,1,3,36.5
256,84,0,1,46.5
256,85,0,2,49.5
256,86,0,3,50
256,87,0,4,47.5
256,88,1,5,43
256,89,0,1,48.5
256,90,0,2,52
256,91,0,3,58.5
256,92,0,4,54.5
256,93,0,5,54
256,94,0,6,47
256,95,0,7,45.5
256,96,1,7,42.5
256,97,0,1,50.5
256,98,0,2,43.5
256,99,0,3,44.5
256,100,0,4,46
257,1,0,4,45
257,2,0,5,49
257,3,1,6,54
257,4,0,1,47
257,5,0,2,56
257,6,0,3,52.5
257,7,0,4,55
257,8,1,5,50.5
257,9,0,1,52
257,10,0,2,42
257,11,0,3,31.5
257,12,1,4,39.5
257,13,0,1,40.5
257,14,0,2,39.5
257,15,1,3,42
257,16,0,1,41.5
257,17,0,2,40
257,18,1,3,35
257,19,0,1,40
257,20,0,2,44
257,21,0,3,45
257,22,0,4,50.5
257,23,1,5,46.5
257,24,0,1,52
257,25,0,2,50
257,26,0,3,48
257,27,0,4,54
257,28,0,5,56
257,29,1,6,51.5
257,30,0,1,44.5
257,31,0,2,41.5
257,32,0,3,54
257,33,0,4,50.5
257,34,0,5,46
257,35,1,6,46
257,36,0,1,38
257,37,0,2,39
257,38,0,3,39
257,39,1,4,35
257,40,0,1,36.5
257,41,0,2,39.5
257,42,0,3,46.5
257,43,1,4,47.5
257,44,0,1,47.5
257,45,0,2,52.5
257,46,1,3,50
257,47,0,1,48
257,48,0,2,50.5
257,49,0,3,52
257,50,0,4,46.5
257,51,1,5,47.5
257,52,0,1,40
257,53,0,2,43
257,54,0,3,47
257,55,0,4,44
257,56,0,5,49
257,57,0,6,57.5
257,58,0,7,51.5
257,59,1,7,46.5
257,60,0,1,50
257,61,0,2,44
257,62,0,3,53
257,63,0,4,50.5
257,64,0,5,48
257,65,1,6,51
257,66,0,1,50.5
257,67,0,2,51
257,68,0,3,62.5
257,69,0,4,58
257,70,0,5,62
257,71,0,6,53
257,72,1,7,52.5
257,73,0,1,55.5
257,74,0,2,48
257,75,0,3,45.5
257,76,0,4,45
257,77,0,5,50
257,78,0,6,47
257,79,1,7,50
257,80,0,1,41.5
257,81,0,2,50
257,82,0,3,43.5
257,83,1,4,36.5
257,84,0,1,46.5
257,85,0,2,49.5
257,86,0,3,50
257,87,0,4,47.5
257,88,0,5,43
257,89,0,6,48.5
257,90,1,7,52
257,91,0,1,58.5
257,92,0,2,54.5
257,93,0,3,54
257,94,1,4,47
257,95,0,1,45.5
257,96,0,2,42.5
257,97,0,3,50.5
257,98,0,4,43.5
257,99,0,5,44.5
257,100,0,6,46
258,1,0,3,45
258,2,0,4,49
258,3,0,5,54
258,4,0,6,47
258,5,0,7,56
258,6,0,7,52.5
258,7,0,7,55
258,8,0,7,50.5
258,9,0,7,52
258,10,0,7,42
258,11,1,7,31.5
258,12,0,1,39.5
258,13,0,2,40.5
258,14,1,3,39.5
258,15,0,1,42
258,16,0,2,41.5
258,17,0,3,40
258,18,0,4,35
258,19,0,5,40
258,20,1,6,44
258,21,0,1,45
258,22,0,2,50.5
258,23,0,3,46.5
258,24,0,4,52
258,25,0,5,50
258,26,1,6,48
258,27,0,1,54
258,28,0,2,56
258,29,0,3,51.5
258,30,0,4,44.5
258,31,1,5,41.5
258,32,0,1,54
258,33,0,2,50.5
258,34,0,3,46
258,35,0,4,46
258,36,0,5,38
258,37,1,6,39
258,38,0,1,39
258,39,0,2,35
258,40,0,3,36.5
258,41,0,4,39.5
258,42,0,5,46.5
258,43,0,6,47.5
258,44,1,7,47.5
258,45,0,1,52.5
258,46,0,2,50
258,47,0,3,48
258,48,0,4,50.5
258,49,0,5,52
258,50,1,6,46.5
258,51,0,1,47.5
258,52,0,2,40
258,53,0,3,43
258,54,0,4,47
258,55,0,5,44
258,56,0,6,49
258,57,0,7,57.5
258,58,0,7,51.5
258,59,1,7,46.5
258,60,0,1,50
258,61,0,2,44
258,62,0,3,53
258,63,0,4,50.5
258,64,0,5,48
258,65,0,6,51
258,66,0,7,50.5
258,67,0,7,51
258,68,0,7,62.5
258,69,0,7,58
258,70,0,7,62
258,71,0,7,53
258,72,0,7,52.5
258,73,0,7,55.5
258,74,1,7,48
258,75,0,1,45.5
258,76,0,2,45
258,77,0,3,50
258,78,0,4,47
258,79,1,5,50
258,80,0,1,41.5
258,81,0,2,50
258,82,0,3,43.5
258,83,0,4,36.5
258,84,0,5,46.5
258,85,1,6,49.5
258,86,0,1,50
258,87,0,2,47.5
258,88,0,3,43
258,89,0,4,48.5
258,90,0,5,52
258,91,0,6,58.5
258,92,0,7,54.5
258,93,1,7,54
258,94,0,1,47
258,95,0,2,45.5
258,96,1,3,42.5
258,97,0,1,50.5
258,98,0,2,43.5
258,99,0,3,44.5
258,100,0,4,46
259,1,0,1,45
259,2,0,2,49
259,3,1,3,54
259,4,0,1,47
259,5,0,2,56
259,6,0,3,52.5
259,7,0,4,55
259,8,0,5,50.5
259,9,0,6,52
259,10,1,7,42
259,11,0,1,31.5
259,12,0,2,39.5
259,13,0,3,40.5
259,14,1,4,39.5
259,15,0,1,42
259,16,0,2,41.5
259,17,0,3,40
259,18,0,4,35
259,19,1,5,40
259,20,0,1,44
259,21,0,2,45
259,22,0,3,50.5
259,23,0,4,46.5
259,24,0,5,52
259,25,0,6,50
259,26,0,7,48
259,27,0,7,54
259,28,1,7,56
259,29,0,1,51.5
259,30,0,2,44.5
259,31,0,3,41.5
259,32,0,4,54
259,33,1,5,50.5
259,34,0,1,46
259,35,0,2,46
259,36,0,3,38
259,37,0,4,39
259,38,0,5,39
259,39,0,6,35
259,40,0,7,36.5
259,41,1,7,39.5
259,42,1,1,46.5
259,43,0,1,47.5
259,44,0,2,47.5
259,45,0,3,52.5
259,46,0,4,50
259,47,0,5,48
259,48,1,6,50.5
259,49,0,1,52
259,50,0,2,46.5
259,51,0,3,47.5
259,52,1,4,40
259,53,0,1,43
259,54,0,2,47
259,55,0,3,44
259,56,0,4,49
259,57,0,5,57.5
259,58,0,6,51.5
259,59,1,7,46.5
259,60,0,1,50
259,61,0,2,44
259,62,0,3,53
259,63,0,4,50.5
259,64,1,5,48
259,65,0,1,51
259,66,0,2,50.5
259,67,0,3,51
259,68,0,4,62.5
259,69,0,5,58
259,70,0,6,62
259,71,0,7,53
259,72,0,7,52.5
259,73,1,7,55.5
259,74,0,1,48
259,75,0,2,45.5
259,76,0,3,45
259,77,0,4,50
259,78,0,5,47
259,79,0,6,50
259,80,1,7,41.5
259,81,0,1,50
259,82,0,2,43.5
259,83,0,3,36.5
259,84,0,4,46.5
259,85,0,5,49.5
259,86,1,6,50
259,87,0,1,47.5
259,88,0,2,43
259,89,0,3,48.5
259,90,0,4,52
259,91,0,5,58.5
259,92,0,6,54.5
259,93,0,7,54
259,94,1,7,47
259,95,0,1,45.5
259,96,0,2,42.5
259,97,0,3,50.5
259,98,0,4,43.5
259,99,1,5,44.5
259,100,0,1,46
260,1,0,1,45
260,2,0,2,49
260,3,0,3,54
260,4,0,4,47
260,5,0,5,56
260,6,0,6,52.5
260,7,0,7,55
260,8,1,7,50.5
260,9,0,1,52
260,10,0,2,42
260,11,1,3,31.5
260,12,0,1,39.5
260,13,0,2,40.5
260,14,0,3,39.5
260,15,0,4,42
260,16,0,5,41.5
260,17,1,6,40
260,18,0,1,35
260,19,0,2,40
260,20,0,3,44
260,21,0,4,45
260,22,1,5,50.5
260,23,0,1,46.5
260,24,0,2,52
260,25,0,3,50
260,26,0,4,48
260,27,0,5,54
260,28,0,6,56
260,29,1,7,51.5
260,30,0,1,44.5
260,31,0,2,41.5
260,32,0,3,54
260,33,0,4,50.5
260,34,1,5,46
260,35,0,1,46
260,36,0,2,38
260,37,0,3,39
260,38,0,4,39
260,39,1,5,35
260,40,0,1,36.5
260,41,0,2,39.5
260,42,0,3,46.5
260,43,1,4,47.5
260,44,0,1,47.5
260,45,0,2,52.5
260,46,0,3,50
260,47,1,4,48
260,48,0,1,50.5
260,49,0,2,52
260,50,0,3,46.5
260,51,0,4,47.5
260,52,1,5,40
260,53,0,1,43
260,54,0,2,47
260,55,0,3,44
260,56,0,4,49
260,57,0,5,57.5
260,58,0,6,51.5
260,59,1,7,46.5
260,60,0,1,50
260,61,1,2,44
260,62,0,1,53
260,63,0,2,50.5
260,64,1,3,48
260,65,0,1,51
260,66,0,2,50.5
260,67,0,3,51
260,68,0,4,62.5
260,69,0,5,58
260,70,0,6,62
260,71,0,7,53
260,72,1,7,52.5
260,73,0,1,55.5
260,74,0,2,48
260,75,0,3,45.5
260,76,1,4,45
260,77,0,1,50
260,78,0,2,47
260,79,0,3,50
260,80,0,4,41.5
260,81,1,5,50
260,82,0,1,43.5
260,83,0,2,36.5
260,84,0,3,46.5
260,85,0,4,49.5
260,86,0,5,50
260,87,0,6,47.5
260,88,1,7,43
260,89,0,1,48.5
260,90,0,2,52
260,91,0,3,58.5
260,92,1,4,54.5
260,93,0,1,54
260,94,0,2,47
260,95,0,3,45.5
260,96,1,4,42.5
260,97,0,1,50.5
260,98,0,2,43.5
260,99,0,3,44.5
260,100,0,4,46
261,1,1,1,45
261,2,0,1,49
261,3,0,2,54
261,4,0,3,47
261,5,0,4,56
261,6,0,5,52.5
261,7,1,6,55
261,8,0,1,50.5
261,9,0,2,52
261,10,0,3,42
261,11,1,4,31.5
261,12,0,1,39.5
261,13,0,2,40.5
261,14,0,3,39.5
261,15,0,4,42
261,16,1,5,41.5
261,17,0,1,40
261,18,0,2,35
261,19,0,3,40
261,20,0,4,44
261,21,0,5,45
261,22,0,6,50.5
261,23,0,7,46.5
261,24,0,7,52
261,25,1,7,50
261,26,0,1,48
261,27,0,2,54
261,28,0,3,56
261,29,0,4,51.5
261,30,0,5,44.5
261,31,0,6,41.5
261,32,0,7,54
261,33,1,7,50.5
261,34,0,1,46
261,35,0,2,46
261,36,0,3,38
261,37,0,4,39
261,38,0,5,39
261,39,0,6,35
261,40,1,7,36.5
261,41,0,1,39.5
261,42,0,2,46.5
261,43,0,3,47.5
261,44,0,4,47.5
261,45,0,5,52.5
261,46,0,6,50
261,47,0,7,48
261,48,0,7,50.5
261,49,0,7,52
261,50,1,7,46.5
261,51,0,1,47.5
261,52,0,2,40
261,53,0,3,43
261,54,0,4,47
261,55,1,5,44
261,56,0,1,49
261,57,0,2,57.5
261,58,0,3,51.5
261,59,0,4,46.5
261,60,0,5,50
261,61,0,6,44
261,62,0,7,53
261,63,0,7,50.5
261,64,0,7,48
261,65,1,7,51
261,66,0,1,50.5
261,67,0,2,51
261,68,0,3,62.5
261,69,0,4,58
261,70,0,5,62
261,71,0,6,53
261,72,0,7,52.5
261,73,0,7,55.5
261,74,0,7,48
261,75,1,7,45.5
261,76,0,1,45
261,77,0,2,50
261,78,0,3,47
261,79,0,4,50
261,80,1,5,41.5
261,81,0,1,50
261,82,0,2,43.5
261,83,0,3,36.5
261,84,0,4,46.5
261,85,1,5,49.5
261,86,0,1,50
261,87,0,2,47.5
261,88,1,3,43
261,89,0,1,48.5
261,90,0,2,52
261,91,0,3,58.5
261,92,1,4,54.5
261,93,0,1,54
261,94,0,2,47
261,95,0,3,45.5
261,96,1,4,42.5
261,97,0,1,50.5
261,98,0,2,43.5
261,99,0,3,44.5
261,100,0,4,46
262,1,1,6,45
262,2,0,1,49
262,3,0,2,54
262,4,0,3,47
262,5,0,4,56
262,6,0,5,52.5
262,7,0,6,55
262,8,1,7,50.5
262,9,0,1,52
262,10,0,2,42
262,11,0,3,31.5
262,12,1,4,39.5
262,13,0,1,40.5
262,14,0,2,39.5
262,15,0,3,42
262,16,1,4,41.5
262,17,0,1,40
262,18,0,2,35
262,19,0,3,40
262,20,0,4,44
262,21,1,5,45
262,22,0,1,50.5
262,23,0,2,46.5
262,24,0,3,52
262,25,0,4,50
262,26,0,5,48
262,27,0,6,54
262,28,1,7,56
262,29,0,1,51.5
262,30,0,2,44.5
262,31,0,3,41.5
262,32,0,4,54
262,33,0,5,50.5
262,34,1,6,46
262,35,0,1,46
262,36,1,2,38
262,37,0,1,39
262,38,0,2,39
262,39,0,3,35
262,40,0,4,36.5
262,41,0,5,39.5
262,42,1,6,46.5
262,43,0,1,47.5
262,44,0,2,47.5
262,45,0,3,52.5
262,46,0,4,50
262,47,1,5,48
262,48,0,1,50.5
262,49,0,2,52
262,50,0,3,46.5
262,51,1,4,47.5
262,52,0,1,40
262,53,0,2,43
262,54,0,3,47
262,55,1,4,44
262,56,0,1,49
262,57,0,2,57.5
262,58,0,3,51.5
262,59,1,4,46.5
262,60,0,1,50
262,61,0,2,44
262,62,0,3,53
262,63,0,4,50.5
262,64,0,5,48
262,65,1,6,51
262,66,0,1,50.5
262,67,0,2,51
262,68,0,3,62.5
262,69,1,4,58
262,70,0,1,62
262,71,0,2,53
262,72,0,3,52.5
262,73,0,4,55.5
262,74,0,5,48
262,75,1,6,45.5
262,76,0,1,45
262,77,0,2,50
262,78,0,3,47
262,79,0,4,50
262,80,1,5,41.5
262,81,0,1,50
262,82,0,2,43.5
262,83,0,3,36.5
262,84,0,4,46.5
262,85,0,5,49.5
262,86,0,6,50
262,87,0,7,47.5
262,88,1,7,43
262,89,0,1,48.5
262,90,0,2,52
262,91,0,3,58.5
262,92,0,4,54.5
262,93,1,5,54
262,94,0,1,47
262,95,0,2,45.5
262,96,0,3,42.5
262,97,0,4,50.5
262,98,1,5,43.5
262,99,0,1,44.5
262,100,0,2,46
263,1,0,3,45
263,2,0,4,49
263,3,0,5,54
263,4,1,6,47
263,5,0,1,56
263,6,0,2,52.5
263,7,0,3,55
263,8,0,4,50.5
263,9,0,5,52
263,10,1,6,42
263,11,0,1,31.5
263,12,0,2,39.5
263,13,0,3,40.5
263,14,0,4,39.5
263,15,1,5,42
263,16,0,1,41.5
263,17,0,2,40
263,18,0,3,35
263,19,0,4,40
263,20,0,5,44
263,21,0,6,45
263,22,1,7,50.5
263,23,0,1,46.5
263,24,0,2,52
263,25,0,3,50
263,26,0,4,48
263,27,0,5,54
263,28,0,6,56
263,29,1,7,51.5
263,30,0,1,44.5
263,31,0,2,41.5
263,32,0,3,54
263,33,0,4,50.5
263,34,1,5,46
263,35,0,1,46
263,36,0,2,38
263,37,0,3,39
263,38,0,4,39
263,39,0,5,35
263,40,1,6,36.5
263,41,0,1,39.5
263,42,0,2,46.5
263,43,0,3,47.5
263,44,0,4,47.5
263,45,0,5,52.5
263,46,0,6,50
263,47,0,7,48
263,48,0,7,50.5
263,49,0,7,52
263,50,1,7,46.5
263,51,0,1,47.5
263,52,0,2,40
263,53,0,3,43
263,54,0,4,47
263,55,0,5,44
263,56,0,6,49
263,57,0,7,57.5
263,58,1,7,51.5
263,59,0,1,46.5
263,60,0,2,50
263,61,0,3,44
263,62,1,4,53
263,63,0,1,50.5
263,64,0,2,48
263,65,0,3,51
263,66,0,4,50.5
263,67,0,5,51
263,68,0,6,62.5
263,69,0,7,58
263,70,0,7,62
263,71,0,7,53
263,72,0,7,52.5
263,73,0,7,55.5
263,74,1,7,48
263,75,0,1,45.5
263,76,0,2,45
263,77,0,3,50
263,78,0,4,47
263,79,0,5,50
263,80,0,6,41.5
263,81,1,7,50
263,82,0,1,43.5
263,83,0,2,36.5
263,84,0,3,46.5
263,85,0,4,49.5
263,86,1,5,50
263,87,0,1,47.5
263,88,0,2,43
263,89,0,3,48.5
263,90,0,4,52
263,91,1,5,58.5
263,92,0,1,54.5
263,93,0,2,54
263,94,0,3,47
263,95,0,4,45.5
263,96,0,5,42.5
263,97,0,6,50.5
263,98,1,7,43.5
263,99,0,1,44.5
263,100,0,2,46
264,1,0,5,45
264,2,0,6,49
264,3,0,7,54
264,4,0,7,47
264,5,0,7,56
264,6,0,7,52.5
264,7,0,7,55
264,8,0,7,50.5
264,9,0,7,52
264,10,1,7,42
264,11,0,1,31.5
264,12,0,2,39.5
264,13,1,3,40.5
264,14,0,1,39.5
264,15,0,2,42
264,16,0,3,41.5
264,17,0,4,40
264,18,1,5,35
264,19,0,1,40
264,20,0,2,44
264,21,1,3,45
264,22,0,1,50.5
264,23,0,2,46.5
264,24,0,3,52
264,25,0,4,50
264,26,0,5,48
264,27,0,6,54
264,28,1,7,56
264,29,0,1,51.5
264,30,0,2,44.5
264,31,0,3,41.5
264,32,0,4,54
264,33,0,5,50.5
264,34,0,6,46
264,35,0,7,46
264,36,0,7,38
264,37,1,7,39
264,38,0,1,39
264,39,0,2,35
264,40,0,3,36.5
264,41,0,4,39.5
264,42,0,5,46.5
264,43,1,6,47.5
264,44,0,1,47.5
264,45,0,2,52.5
264,46,0,3,50
264,47,0,4,48
264,48,0,5,50.5
264,49,0,6,52
264,50,0,7,46.5
264,51,0,7,47.5
264,52,1,7,40
264,53,0,1,43
264,54,0,2,47
264,55,0,3,44
264,56,1,4,49
264,57,0,1,57.5
264,58,0,2,51.5
264,59,0,3,46.5
264,60,0,4,50
264,61,0,5,44
264,62,0,6,53
264,63,1,7,50.5
264,64,0,1,48
264,65,0,2,51
264,66,0,3,50.5
264,67,1,4,51
264,68,0,1,62.5
264,69,0,2,58
264,70,0,3,62
264,71,0,4,53
264,72,0,5,52.5
264,73,1,6,55.5
264,74,0,1,48
264,75,0,2,45.5
264,76,0,3,45
264,77,0,4,50
264,78,0,5,47
264,79,0,6,50
264,80,0,7,41.5
264,81,0,7,50
264,82,0,7,43.5
264,83,1,7,36.5
264,84,0,1,46.5
264,85,0,2,49.5
264,86,0,3,50
264,87,0,4,47.5
264,88,0,5,43
264,89,0,6,48.5
264,90,1,7,52
264,91,0,1,58.5
264,92,0,2,54.5
264,93,0,3,54
264,94,0,4,47
264,95,0,5,45.5
264,96,0,6,42.5
264,97,1,7,50.5
264,98,0,1,43.5
264,99,0,2,44.5
264,100,0,3,46
265,1,0,3,45
265,2,0,4,49
265,3,0,5,54
265,4,0,6,47
265,5,1,7,56
265,6,0,1,52.5
265,7,0,2,55
265,8,0,3,50.5
265,9,0,4,52
265,10,0,5,42
265,11,1,6,31.5
265,12,0,1,39.5
265,13,0,2,40.5
265,14,0,3,39.5
265,15,0,4,42
265,16,1,5,41.5
265,17,1,1,40
265,18,0,1,35
265,19,0,2,40
265,20,0,3,44
265,21,1,4,45
265,22,0,1,50.5
265,23,0,2,46.5
265,24,0,3,52
265,25,0,4,50
265,26,1,5,48
265,27,0,1,54
265,28,0,2,56
265,29,0,3,51.5
265,30,0,4,44.5
265,31,0,5,41.5
265,32,0,6,54
265,33,1,7,50.5
265,34,0,1,46
265,35,0,2,46
265,36,0,3,38
265,37,1,4,39
265,38,0,1,39
265,39,0,2,35
265,40,0,3,36.5
265,41,0,4,39.5
265,42,1,5,46.5
265,43,0,1,47.5
265,44,0,2,47.5
265,45,0,3,52.5
265,46,0,4,50
265,47,1,5,48
265,48,0,1,50.5
265,49,0,2,52
265,50,0,3,46.5
265,51,0,4,47.5
265,52,1,5,40
265,53,0,1,43
265,54,0,2,47
265,55,0,3,44
265,56,0,4,49
265,57,0,5,57.5
265,58,1,6,51.5
265,59,0,1,46.5
265,60,1,2,50
265,61,0,1,44
265,62,0,2,53
265,63,0,3,50.5
265,64,0,4,48
265,65,0,5,51
265,66,1,6,50.5
265,67,0,1,51
265,68,0,2,62.5
265,69,0,3,58
265,70,0,4,62
265,71,0,5,53
265,72,0,6,52.5
265,73,0,7,55.5
265,74,1,7,48
265,75,0,1,45.5
265,76,0,2,45
265,77,0,3,50
265,78,1,4,47
265,79,0,1,50
265,80,0,2,41.5
265,81,0,3,50
265,82,0,4,43.5
265,83,1,5,36.5
265,84,0,1,46.5
265,85,0,2,49.5
265,86,0,3,50
265,87,0,4,47.5
265,88,1,5,43
265,89,0,1,48.5
265,90,0,2,52
265,91,0,3,58.5
265,92,0,4,54.5
265,93,0,5,54
265,94,0,6,47
265,95,1,7,45.5
265,96,0,1,42.5
265,97,0,2,50.5
265,98,0,3,43.5
265,99,1,4,44.5
265,100,0,1,46
266,1,0,1,45
266,2,0,2,49
266,3,0,3,54
266,4,0,4,47
266,5,0,5,56
266,6,0,6,52.5
266,7,1,7,55
266,8,0,1,50.5
266,9,0,2,52
266,10,0,3,42
266,11,1,4,31.5
266,12,0,1,39.5
266,13,0,2,40.5
266,14,0,3,39.5
266,15,0,4,42
266,16,0,5,41.5
266,17,0,6,40
266,18,0,7,35
266,19,0,7,40
266,20,1,7,44
266,21,0,1,45
266,22,0,2,50.5
266,23,0,3,46.5
266,24,0,4,52
266,25,0,5,50
266,26,0,6,48
266,27,1,7,54
266,28,0,1,56
266,29,0,2,51.5
266,30,0,3,44.5
266,31,1,4,41.5
266,32,0,1,54
266,33,0,2,50.5
266,34,0,3,46
266,35,1,4,46
266,36,0,1,38
266,37,0,2,39
266,38,0,3,39
266,39,0,4,35
266,40,1,5,36.5
266,41,0,1,39.5
266,42,0,2,46.5
266,43,0,3,47.5
266,44,0,4,47.5
266,45,0,5,52.5
266,46,1,6,50
266,47,0,1,48
266,48,0,2,50.5
266,49,0,3,52
266,50,1,4,46.5
266,51,0,1,47.5
266,52,0,2,40
266,53,0,3,43
266,54,0,4,47
266,55,0,5,44
266,56,0,6,49
266,57,0,7,57.5
266,58,0,7,51.5
266,59,1,7,46.5
266,60,0,1,50
266,61,0,2,44
266,62,0,3,53
266,63,0,4,50.5
266,64,1,5,48
266,65,0,1,51
266,66,0,2,50.5
266,67,0,3,51
266,68,0,4,62.5
266,69,0,5,58
266,70,0,6,62
266,71,0,7,53
266,72,0,7,52.5
266,73,0,7,55.5
266,74,0,7,48
266,75,1,7,45.5
266,76,0,1,45
266,77,0,2,50
266,78,0,3,47
266,79,0,4,50
266,80,1,5,41.5
266,81,0,1,50
266,82,0,2,43.5
266,83,1,3,36.5
266,84,0,1,46.5
266,85,0,2,49.5
266,86,0,3,50
266,87,0,4,47.5
266,88,0,5,43
266,89,1,6,48.5
266,90,0,1,52
266,91,0,2,58.5
266,92,0,3,54.5
266,93,0,4,54
266,94,1,5,47
266,95,0,1,45.5
266,96,0,2,42.5
266,97,0,3,50.5
266,98,0,4,43.5
266,99,0,5,44.5
266,100,1,6,46
267,1,0,1,45
267,2,0,2,49
267,3,0,3,54
267,4,0,4,47
267,5,0,5,56
267,6,0,6,52.5
267,7,0,7,55
267,8,1,7,50.5
267,9,0,1,52
267,10,0,2,42
267,11,0,3,31.5
267,12,0,4,39.5
267,13,1,5,40.5
267,14,0,1,39.5
267,15,0,2,42
267,16,0,3,41.5
267,17,0,4,40
267,18,1,5,35
267,19,0,1,40
267,20,0,2,44
267,21,0,3,45
267,22,0,4,50.5
267,23,0,5,46.5
267,24,1,6,52
267,25,0,1,50
267,26,0,2,48
267,27,0,3,54
267,28,0,4,56
267,29,1,5,51.5
267,30,0,1,44.5
267,31,1,2,41.5
267,32,0,1,54
267,33,0,2,50.5
267,34,1,3,46
267,35,0,1,46
267,36,1,2,38
267,37,0,1,39
267,38,0,2,39
267,39,0,3,35
267,40,0,4,36.5
267,41,0,5,39.5
267,42,0,6,46.5
267,43,1,7,47.5
267,44,0,1,47.5
267,45,0,2,52.5
267,46,0,3,50
267,47,0,4,48
267,48,0,5,50.5
267,49,0,6,52
267,50,0,7,46.5
267,51,1,7,47.5
267,52,0,1,40
267,53,0,2,43
267,54,0,3,47
267,55,0,4,44
267,56,0,5,49
267,57,0,6,57.5
267,58,0,7,51.5
267,59,1,7,46.5
267,60,0,1,50
267,61,0,2,44
267,62,0,3,53
267,63,0,4,50.5
267,64,0,5,48
267,65,1,6,51
267,66,0,1,50.5
267,67,0,2,51
267,68,0,3,62.5
267,69,0,4,58
267,70,0,5,62
267,71,0,6,53
267,72,0,7,52.5
267,73,0,7,55.5
267,74,1,7,48
267,75,0,1,45.5
267,76,0,2,45
267,77,0,3,50
267,78,0,4,47
267,79,0,5,50
267,80,0,6,41.5
267,81,1,7,50
267,82,0,1,43.5
267,83,0,2,36.5
267,84,0,3,46.5
267,85,0,4,49.5
267,86,0,5,50
267,87,1,6,47.5
267,88,0,1,43
267,89,0,2,48.5
267,90,0,3,52
267,91,0,4,58.5
267,92,1,5,54.5
267,93,0,1,54
267,94,0,2,47
267,95,0,3,45.5
267,96,0,4,42.5
267,97,0,5,50.5
267,98,0,6,43.5
267,99,0,7,44.5
267,100,0,7,46
268,1,0,1,45
268,2,0,2,49
268,3,0,3,54
268,4,0,4,47
268,5,0,5,56
268,6,1,6,52.5
268,7,0,1,55
268,8,0,2,50.5
268,9,0,3,52
268,10,1,4,42
268,11,0,1,31.5
268,12,0,2,39.5
268,13,0,3,40.5
268,14,0,4,39.5
268,15,1,5,42
